participant,block,trial,screenID,condition,stepID,position,initial_item,final_item,npl_items,answer,acc,rt,updPos
oyz,1,1,memory,kr,1,0,음,NA,NA,NULL,NA,NA,NA
oyz,1,1,memory,kr,2,1,조,NA,NA,NULL,NA,NA,NA
oyz,1,1,memory,kr,3,2,뿌,NA,NA,NULL,NA,NA,NA
oyz,1,1,memory,kr,4,3,문,NA,NA,NULL,NA,NA,NA
oyz,1,1,memory,kr,5,4,보,NA,NA,NULL,NA,NA,NA
oyz,1,1,memory,kr,6,5,위,NA,NA,NULL,NA,NA,NA
oyz,1,1,updating,kr,1,3,문,았,NA,NULL,NA,NA,yes
oyz,1,1,updating,kr,2,5,위,뜻,NA,NULL,NA,NA,yes
oyz,1,1,updating,kr,3,0,음,효,NA,NULL,NA,NA,yes
oyz,1,1,retrieval,kr,1,4,보,보,"까,르,휴,꾸,표,큼",효,FALSE,14543.100000000093,no
oyz,1,1,retrieval,kr,2,2,뿌,뿌,"까,르,휴,꾸,표,큼",뿌,TRUE,6910.5,no
oyz,1,1,retrieval,kr,3,3,문,았,"까,르,휴,꾸,표,큼",았,TRUE,6872.199999999953,yes
oyz,1,1,retrieval,kr,4,5,위,뜻,"까,르,휴,꾸,표,큼",뜻,TRUE,1445.5,yes
oyz,1,1,retrieval,kr,5,1,조,조,"까,르,휴,꾸,표,큼",조,TRUE,13852.900000000023,no
oyz,1,1,retrieval,kr,6,0,음,효,"까,르,휴,꾸,표,큼",휴,FALSE,9414.099999999977,yes
oyz,1,1,debrief,kr,NA,NA,NA,NA,NA,NULL,NA,NA,NA
oyz,1,2,memory,kr,1,0,보,NA,NA,NULL,NA,NA,NA
oyz,1,2,memory,kr,2,1,효,NA,NA,NULL,NA,NA,NA
oyz,1,2,memory,kr,3,2,르,NA,NA,NULL,NA,NA,NA
oyz,1,2,memory,kr,4,3,뜻,NA,NA,NULL,NA,NA,NA
oyz,1,2,memory,kr,5,4,았,NA,NA,NULL,NA,NA,NA
oyz,1,2,memory,kr,6,5,휴,NA,NA,NULL,NA,NA,NA
oyz,1,2,updating,kr,1,2,르,조,NA,NULL,NA,NA,yes
oyz,1,2,updating,kr,2,5,휴,표,NA,NULL,NA,NA,yes
oyz,1,2,updating,kr,3,1,효,음,NA,NULL,NA,NA,yes
oyz,1,2,retrieval,kr,1,5,휴,표,"문,뿌,위,큼,꾸,까",조,FALSE,17921.399999999907,yes
oyz,1,2,retrieval,kr,2,3,뜻,뜻,"문,뿌,위,큼,꾸,까",뜻,TRUE,1657.3000000000466,no
oyz,1,2,retrieval,kr,3,4,았,았,"문,뿌,위,큼,꾸,까",NULL,FALSE,NA,no
oyz,1,2,retrieval,kr,4,0,보,보,"문,뿌,위,큼,꾸,까",표,FALSE,14601.300000000047,no
oyz,1,2,retrieval,kr,5,1,효,음,"문,뿌,위,큼,꾸,까",르,FALSE,9514.599999999977,yes
oyz,1,2,retrieval,kr,6,2,르,조,"문,뿌,위,큼,꾸,까",았,FALSE,2610,yes
oyz,1,2,debrief,kr,NA,NA,NA,NA,NA,NULL,NA,NA,NA
oyz,1,3,memory,kr,1,0,뿌,NA,NA,NULL,NA,NA,NA
oyz,1,3,memory,kr,2,1,조,NA,NA,NULL,NA,NA,NA
oyz,1,3,memory,kr,3,2,보,NA,NA,NULL,NA,NA,NA
oyz,1,3,memory,kr,4,3,문,NA,NA,NULL,NA,NA,NA
oyz,1,3,memory,kr,5,4,까,NA,NA,NULL,NA,NA,NA
oyz,1,3,memory,kr,6,5,뜻,NA,NA,NULL,NA,NA,NA
oyz,1,3,updating,kr,1,1,조,위,NA,NULL,NA,NA,yes
oyz,1,3,updating,kr,2,2,보,음,NA,NULL,NA,NA,yes
oyz,1,3,updating,kr,3,5,뜻,았,NA,NULL,NA,NA,yes
oyz,1,3,retrieval,kr,1,1,조,위,"꾸,표,르,휴,효,큼",위,TRUE,3700.3000000000466,yes
oyz,1,3,retrieval,kr,2,0,뿌,뿌,"꾸,표,르,휴,효,큼",뿌,TRUE,6002,no
oyz,1,3,retrieval,kr,3,3,문,문,"꾸,표,르,휴,효,큼",문,TRUE,11033,no
oyz,1,3,retrieval,kr,4,2,보,음,"꾸,표,르,휴,효,큼",음,TRUE,14839,yes
oyz,1,3,retrieval,kr,5,4,까,까,"꾸,표,르,휴,효,큼",문,FALSE,9861.099999999977,no
oyz,1,3,retrieval,kr,6,5,뜻,았,"꾸,표,르,휴,효,큼",까,FALSE,2984,yes
oyz,1,3,debrief,kr,NA,NA,NA,NA,NA,NULL,NA,NA,NA
oyz,1,4,memory,kr,1,0,휴,NA,NA,NULL,NA,NA,NA
oyz,1,4,memory,kr,2,1,효,NA,NA,NULL,NA,NA,NA
oyz,1,4,memory,kr,3,2,큼,NA,NA,NULL,NA,NA,NA
oyz,1,4,memory,kr,4,3,문,NA,NA,NULL,NA,NA,NA
oyz,1,4,memory,kr,5,4,조,NA,NA,NULL,NA,NA,NA
oyz,1,4,memory,kr,6,5,뜻,NA,NA,NULL,NA,NA,NA
oyz,1,4,updating,kr,1,5,뜻,았,NA,NULL,NA,NA,yes
oyz,1,4,updating,kr,2,3,문,르,NA,NULL,NA,NA,yes
oyz,1,4,updating,kr,3,0,휴,위,NA,NULL,NA,NA,yes
