participant,expPart,block,trial,condition,screenID,stepID,position,initial_item,final_item,npl_items,answer,acc,rt,updPos
1,training,1,1,training,memory,1,0,았,NA,NA,NULL,NA,NA,NA
1,training,1,1,training,memory,2,1,뜻,NA,NA,NULL,NA,NA,NA
1,training,1,1,training,memory,3,2,까,NA,NA,NULL,NA,NA,NA
1,training,1,1,training,memory,4,3,표,NA,NA,NULL,NA,NA,NA
1,training,1,1,training,memory,5,4,위,NA,NA,NULL,NA,NA,NA
1,training,1,1,training,memory,6,5,뿌,NA,NA,NULL,NA,NA,NA
1,training,1,1,training,updating,1,5,뿌,문,NA,NULL,NA,NA,yes
1,training,1,1,training,updating,2,3,표,르,NA,NULL,NA,NA,yes
1,training,1,1,training,updating,3,2,까,조,NA,NULL,NA,NA,yes
1,training,1,1,training,retrieval,1,4,위,위,큼;보;효;파;견;없,위,TRUE,5084.400000035763,no
1,training,1,1,training,retrieval,2,0,았,았,큼;보;효;파;견;없,큼,FALSE,4009.100000023842,no
1,training,1,1,training,retrieval,3,1,뜻,뜻,큼;보;효;파;견;없,보,FALSE,636.4000000357628,no
1,training,1,1,training,retrieval,4,5,뿌,문,큼;보;효;파;견;없,효,FALSE,507.80000001192093,yes
1,training,1,1,training,retrieval,5,3,표,르,큼;보;효;파;견;없,뜻,FALSE,444.0999999642372,yes
1,training,1,1,training,retrieval,6,2,까,조,큼;보;효;파;견;없,까,FALSE,470.60000002384186,yes
1,training,1,2,training,memory,1,0,큼,NA,NA,NULL,NA,NA,NA
1,training,1,2,training,memory,2,1,보,NA,NA,NULL,NA,NA,NA
1,training,1,2,training,memory,3,2,표,NA,NA,NULL,NA,NA,NA
1,training,1,2,training,memory,4,3,까,NA,NA,NULL,NA,NA,NA
1,training,1,2,training,memory,5,4,조,NA,NA,NULL,NA,NA,NA
1,training,1,2,training,memory,6,5,뿌,NA,NA,NULL,NA,NA,NA
1,training,1,2,training,updating,1,4,조,문,NA,NULL,NA,NA,yes
1,training,1,2,training,updating,2,0,큼,효,NA,NULL,NA,NA,yes
1,training,1,2,training,updating,3,1,보,르,NA,NULL,NA,NA,yes
1,training,1,2,training,retrieval,1,1,보,르,위;았;뜻;런;찬;무,르,TRUE,2151.399999976158,yes
1,training,1,2,training,retrieval,2,4,조,문,위;았;뜻;런;찬;무,문,TRUE,2237.599999964237,yes
1,training,1,2,training,retrieval,3,0,큼,효,위;았;뜻;런;찬;무,보,FALSE,446.2000000476837,yes
1,training,1,2,training,retrieval,4,2,표,표,위;았;뜻;런;찬;무,큼,FALSE,414.4000000357628,no
1,training,1,2,training,retrieval,5,5,뿌,뿌,위;았;뜻;런;찬;무,뜻,FALSE,579.3999999761581,no
1,training,1,2,training,retrieval,6,3,까,까,위;았;뜻;런;찬;무,았,FALSE,475.30000001192093,no
1,training,1,3,training,memory,1,0,효,NA,NA,NULL,NA,NA,NA
1,training,1,3,training,memory,2,1,뜻,NA,NA,NULL,NA,NA,NA
1,training,1,3,training,memory,3,2,뿌,NA,NA,NULL,NA,NA,NA
1,training,1,3,training,memory,4,3,보,NA,NA,NULL,NA,NA,NA
1,training,1,3,training,memory,5,4,위,NA,NA,NULL,NA,NA,NA
1,training,1,3,training,memory,6,5,조,NA,NA,NULL,NA,NA,NA
1,training,1,3,training,updating,1,1,뜻,르,NA,NULL,NA,NA,yes
1,training,1,3,training,updating,2,0,효,표,NA,NULL,NA,NA,yes
1,training,1,3,training,updating,3,3,보,까,NA,NULL,NA,NA,yes
1,training,1,3,training,retrieval,1,2,뿌,뿌,문;큼;았;있;준;느,큼,FALSE,2840.399999976158,no
1,training,1,3,training,retrieval,2,5,조,조,문;큼;았;있;준;느,느,FALSE,939.8999999761581,no
1,training,1,3,training,retrieval,3,1,뜻,르,문;큼;았;있;준;느,효,FALSE,549,yes
1,training,1,3,training,retrieval,4,4,위,위,문;큼;았;있;준;느,뜻,FALSE,930.6999999880791,no
1,training,1,3,training,retrieval,5,0,효,표,문;큼;았;있;준;느,표,TRUE,2826.7000000476837,yes
1,training,1,3,training,retrieval,6,3,보,까,문;큼;았;있;준;느,까,TRUE,2627.400000035763,yes
1,training,1,4,training,memory,1,0,르,NA,NA,NULL,NA,NA,NA
1,training,1,4,training,memory,2,1,큼,NA,NA,NULL,NA,NA,NA
1,training,1,4,training,memory,3,2,위,NA,NA,NULL,NA,NA,NA
1,training,1,4,training,memory,4,3,조,NA,NA,NULL,NA,NA,NA
1,training,1,4,training,memory,5,4,았,NA,NA,NULL,NA,NA,NA
1,training,1,4,training,memory,6,5,보,NA,NA,NULL,NA,NA,NA
1,training,1,4,training,updating,1,1,큼,효,NA,NULL,NA,NA,yes
1,training,1,4,training,updating,2,0,르,문,NA,NULL,NA,NA,yes
1,training,1,4,training,updating,3,3,조,뜻,NA,NULL,NA,NA,yes
1,training,1,4,training,retrieval,1,5,보,보,까;뿌;표;점;듯;는,는,FALSE,1417.199999988079,no
1,training,1,4,training,retrieval,2,1,큼,효,까;뿌;표;점;듯;는,효,TRUE,3373.2000000476837,yes
1,training,1,4,training,retrieval,3,4,았,았,까;뿌;표;점;듯;는,보,FALSE,2255.599999964237,no
1,training,1,4,training,retrieval,4,2,위,위,까;뿌;표;점;듯;는,큼,FALSE,1054.199999988079,no
1,training,1,4,training,retrieval,5,0,르,문,까;뿌;표;점;듯;는,큼,FALSE,4427.900000035763,yes
1,training,1,4,training,retrieval,6,3,조,뜻,까;뿌;표;점;듯;는,뜻,TRUE,1650,yes
1,training,1,5,training,memory,1,0,았,NA,NA,NULL,NA,NA,NA
1,training,1,5,training,memory,2,1,뿌,NA,NA,NULL,NA,NA,NA
1,training,1,5,training,memory,3,2,까,NA,NA,NULL,NA,NA,NA
1,training,1,5,training,memory,4,3,위,NA,NA,NULL,NA,NA,NA
1,training,1,5,training,memory,5,4,큼,NA,NA,NULL,NA,NA,NA
1,training,1,5,training,memory,6,5,보,NA,NA,NULL,NA,NA,NA
1,training,1,5,training,updating,1,4,큼,문,NA,NULL,NA,NA,yes
1,training,1,5,training,updating,2,2,까,뜻,NA,NULL,NA,NA,yes
1,training,1,5,training,updating,3,0,았,표,NA,NULL,NA,NA,yes
1,training,1,5,training,retrieval,1,1,뿌,뿌,조;효;르;형;암;죄,조,FALSE,1278.8999999761581,no
1,training,1,5,training,retrieval,2,4,큼,문,조;효;르;형;암;죄,뜻,FALSE,3436.5,yes
1,training,1,5,training,retrieval,3,3,위,위,조;효;르;형;암;죄,보,FALSE,1039.300000011921,no
1,training,1,5,training,retrieval,4,0,았,표,조;효;르;형;암;죄,문,FALSE,7401.300000011921,yes
1,training,1,5,training,retrieval,5,2,까,뜻,조;효;르;형;암;죄,뜻,TRUE,4767,yes
1,training,1,5,training,retrieval,6,5,보,보,조;효;르;형;암;죄,았,FALSE,1194.300000011921,no
1,training,2,6,training,memory,1,0,효,NA,NA,NULL,NA,NA,NA
1,training,2,6,training,memory,2,1,조,NA,NA,NULL,NA,NA,NA
1,training,2,6,training,memory,3,2,뜻,NA,NA,NULL,NA,NA,NA
1,training,2,6,training,memory,4,3,표,NA,NA,NULL,NA,NA,NA
1,training,2,6,training,memory,5,4,았,NA,NA,NULL,NA,NA,NA
1,training,2,6,training,memory,6,5,큼,NA,NA,NULL,NA,NA,NA
1,training,2,6,training,updating,1,2,뜻,보,NA,NULL,NA,NA,yes
1,training,2,6,training,updating,2,4,았,위,NA,NULL,NA,NA,yes
1,training,2,6,training,updating,3,5,큼,르,NA,NULL,NA,NA,yes
1,training,2,6,training,retrieval,1,5,큼,르,문;뿌;까;워;둘;삼,삼,FALSE,3524.900000035763,yes
1,training,2,6,training,retrieval,2,2,뜻,보,문;뿌;까;워;둘;삼,보,TRUE,4633.300000011921,yes
1,training,2,6,training,retrieval,3,4,았,위,문;뿌;까;워;둘;삼,조,FALSE,1349.8999999761581,yes
1,training,2,6,training,retrieval,4,1,조,조,문;뿌;까;워;둘;삼,조,TRUE,3129.300000011921,no
1,training,2,6,training,retrieval,5,0,효,효,문;뿌;까;워;둘;삼,효,TRUE,1156.699999988079,no
1,training,2,6,training,retrieval,6,3,표,표,문;뿌;까;워;둘;삼,큼,FALSE,971.3000000119209,no
1,training,2,7,training,memory,1,0,위,NA,NA,NULL,NA,NA,NA
1,training,2,7,training,memory,2,1,효,NA,NA,NULL,NA,NA,NA
1,training,2,7,training,memory,3,2,조,NA,NA,NULL,NA,NA,NA
1,training,2,7,training,memory,4,3,뜻,NA,NA,NULL,NA,NA,NA
1,training,2,7,training,memory,5,4,았,NA,NA,NULL,NA,NA,NA
1,training,2,7,training,memory,6,5,뿌,NA,NA,NULL,NA,NA,NA
1,training,2,7,training,updating,1,5,뿌,큼,NA,NULL,NA,NA,yes
1,training,2,7,training,updating,2,2,조,표,NA,NULL,NA,NA,yes
1,training,2,7,training,updating,3,4,았,까,NA,NULL,NA,NA,yes
1,training,2,7,training,retrieval,1,4,았,까,르;문;보;렌;야;최,최,FALSE,4606.899999976158,yes
1,training,2,7,training,retrieval,2,2,조,표,르;문;보;렌;야;최,뜻,FALSE,11331.599999964237,yes
1,training,2,7,training,retrieval,3,0,위,위,르;문;보;렌;야;최,위,TRUE,1614.199999988079,no
1,training,2,7,training,retrieval,4,3,뜻,뜻,르;문;보;렌;야;최,까,FALSE,4085,no
1,training,2,7,training,retrieval,5,1,효,효,르;문;보;렌;야;최,효,TRUE,6693.399999976158,no
1,training,2,7,training,retrieval,6,5,뿌,큼,르;문;보;렌;야;최,위,FALSE,1042.199999988079,yes
1,training,2,8,training,memory,1,0,뜻,NA,NA,NULL,NA,NA,NA
1,training,2,8,training,memory,2,1,효,NA,NA,NULL,NA,NA,NA
1,training,2,8,training,memory,3,2,큼,NA,NA,NULL,NA,NA,NA
1,training,2,8,training,memory,4,3,조,NA,NA,NULL,NA,NA,NA
1,training,2,8,training,memory,5,4,았,NA,NA,NULL,NA,NA,NA
1,training,2,8,training,memory,6,5,뿌,NA,NA,NULL,NA,NA,NA
1,training,2,8,training,updating,1,5,뿌,표,NA,NULL,NA,NA,yes
1,training,2,8,training,updating,2,2,큼,르,NA,NULL,NA,NA,yes
1,training,2,8,training,updating,3,3,조,위,NA,NULL,NA,NA,yes
1,training,2,8,training,retrieval,1,4,았,았,까;문;보;컨;콤;평,평,FALSE,1069.199999988079,no
1,training,2,8,training,retrieval,2,5,뿌,표,까;문;보;컨;콤;평,뜻,FALSE,525.4000000357628,yes
