participant,P0_Q0,P0_Q1,age,sex,korean_question,strategy,attention,comments
1,NA,NA,29,Female,Never learned,either memorizing the first 3 and any changes made to them. or memorizing the last three. depending on which characters were more easy to recognize,No,nope
2,NA,NA,29,Female,Never learned,"I gave each character a name - two glasses, a house, letters E or CC, etc. I was saying them out loud when they appeared on screen, but sometimes I would confuse myself by it. If the previous board was ""house, glasses, CC"", it was stuck in my head even when the next board appeared. It was more difficult to ""name"" the newly introduced characters so I just tried to remember their shapes and how complicated they were. For example, ""this shape includes S and E, but it was more complicated than the other one, so I will choose the more compplicated one"".",No,"It was really interesting, thank you for allowing me to participate."
3,NA,NA,21,Male,Never learned,comparing to real life objects like houses and curtains,No,
4,NA,NA,21,Male,Never learned,"I gave a name for all the symbols .. it contained A, T or a rectangle",No,It was a great experiment.
5,NA,NA,18,Male,Never learned,i used associations to remember better symbols,No,"imo to hard, but after some time fun"
6,NA,NA,25,Male,Never learned,"I tried to connect the korean characters with something that came first to my mind when i first saw them, eg. one sign was literally spelling ""eH"", other had ""T"" in it etc",No,
7,NA,NA,20,Male,Never learned,Try to compare to english letters.,No,No
8,NA,NA,30,Male,Never learned,just tried to say it like a word if some of the elements looked like normal characters,No,no
9,NA,NA,35,Male,Never learned,No,No,Thank you for the study
10,NA,NA,27,Male,Never learned,"I tried to remember characters that looked familiar, for example ""AA"", ""CC"", ""JJ"" and some characters that looked like things, for example gong, chalice, roof etc.",No,
11,NA,NA,20,Male,Know a few words,I named some characters with Polish (my native language) names,No,
12,NA,NA,30,Male,Never learned,"I tried to match the characters to objects or letters, for example: A stickman with arms outstretched I called Jesus, top hat looking man I called hat, a letter looks similar to the slipknot logo so I called it slipknot etc",No,"it was good, thanks!"
13,NA,NA,24,Male,Never learned,"some letters contained strokes that resembled letters from the English alphabet, like C, L, E, O, etc. Also some strokes looked like English numbers, like 2, 0, etc. so sometimes, I used these similarities to remember the location of the Korean characters.",No,Good experiment
14,NA,NA,24,Male,Never learned,,No,
15,NA,NA,21,Male,Know a few words,No,No,
16,NA,NA,33,Male,Never learned,"i tried to imaging, how this char looks like, like 2 c's or some guy close to a wall",No,
17,NA,NA,35,Female,Never learned,I tried to give each symbol an image to remember them quickly,No,"The characters are very challenging for someone who is not used to seeing them at all, they all look the same. The experiment was engaging."
18,NA,NA,20,Male,Never learned,,No,
19,NA,NA,24,Male,Never learned,i cramped the letters,No,no
20,NA,NA,30,Male,Never learned,No,No,None
21,NA,NA,35,Female,Never learned,no strategies,No,no comment
22,NA,NA,29,Female,Never learned,Tried memorizing the replacement symbols in red,No,No
23,NA,NA,21,Male,Never learned,Categorise characters as things I know such as cups and letters I noticed within the characters ,No,
24,NA,NA,27,Female,Never learned,"no, just to learn each alphabet in its unique way",No,
25,NA,NA,25,Male,Never learned,"Giving a name to some of the characters e.g cross, house, hut, wings",No,
26,NA,NA,31,Male,Never learned,I tried to associate some of the characters with letters in the Latin alphabet. For some I tried to associate them with objects based on their shape.,No,
27,NA,NA,22,Female,Know a few words,I know hangeul a bit so I tried to say the sounds in my head.,No,No
28,NA,NA,32,Male,Never learned,i did try to asimilate the character to a regular latter,No,not at all
29,NA,NA,33,Male,Never learned,No further strategies used.,No,
30,NA,NA,35,Female,Never learned,"Yes, some Korean words look like Chinese words so I recited the Chinese lookalike to myself. I also converted the Korean to a pictorial, e.g. looks like emoticon eyes, so I recited 'eyes' to myself",No,
31,NA,NA,24,Female,Never learned,looked for symbols i could relate to english / numbers,No,
32,NA,NA,27,Female,Never learned,Trying to associate specific characters as letters to sort of remember the positions of something familiar,No,None
33,NA,NA,24,Female,Know a few words,tried to associate the sounds to words i know ,No,
34,NA,NA,25,Male,Never learned,I imagined the words as shapes.,No,Very fun experiment
35,NA,NA,34,Male,Never learned,yes I tried to associate korean letters to objects or similar letters in english alphabet,No,"it was hard, if there was no letter update maybe I could have been more precise, but the 3 letters change messed up my memories everytime"
36,NA,NA,28,Male,Never learned,"I tried to remember the characters by remembering them as a word I know (e.g. helicopter, house, chalice, etc.).",No,No.
37,NA,NA,29,Male,Never learned,no,No,no
38,NA,NA,27,Female,Never learned,"Yes, I gave each character a name such as house, two house, one cup, two cups, if the character had similarities with English Alphabets then I gave them identity with that similar alphabet. ",No,no
39,NA,NA,24,Female,Never learned,no i did not use any strategy,No,
40,NA,NA,23,Female,Know a few words,Some characters looked liked alphabet letters so I associated them with which ever alphabet it resembled and tried to remember them that way. ,No,
41,NA,NA,24,Female,Learned systematically,no,No,n/a
42,NA,NA,22,Female,Never learned,no,No,no
43,NA,NA,33,Male,Never learned,Not really.,No,No additional comments.
44,NA,NA,26,Male,Never learned,I associated the symbols to Italian letters or objects,No,
45,NA,NA,18,Male,Never learned,"yes if they looked similar like i had names like house, cc, 7,2, painter,stand etc",No,
